Timestamp,SpO2 Reading (%),PR Reading (bpm)
2024-11-01 16:12:40,19,82
2024-11-01 16:12:41,99,81
2024-11-01 16:12:42,99,73
2024-11-01 16:12:42,99,73
2024-11-01 16:12:43,99,73
2024-11-01 16:12:43,99,73
2024-11-01 16:12:43,99,73
2024-11-01 16:12:43,99,73
2024-11-01 16:12:43,99,73
2024-11-01 16:12:43,99,73
2024-11-01 16:12:43,99,73
2024-11-01 16:12:43,99,73
2024-11-01 16:12:43,99,71
2024-11-01 16:12:44,99,71
2024-11-01 16:12:44,99,71
2024-11-01 16:12:45,99,70
2024-11-01 16:12:53,97,75
2024-11-01 16:12:53,97,75
2024-11-01 16:12:53,97,75
2024-11-01 16:12:53,97,75
